Upukhulu  A,2383,Navakholo,Navakholo,Nambacha,Nambacha
Upukhulu  B,2384,Navakholo,Navakholo,Nambacha,Nambacha
Lukhuna,2385,Navakholo,Navakholo,Nambacha,Sirigoi
Lwakhupa  A,2386,Navakholo,Navakholo,Nambacha,Sirigoi
Makaraha,2387,Navakholo,Navakholo,Nambacha,Sirigoi
Matoi,2388,Navakholo,Navakholo,Nambacha,Sirigoi
Mulaha  A,2389,Navakholo,Navakholo,Nambacha,Sirigoi
Mwembeni  A,2390,Navakholo,Navakholo,Nambacha,Sirigoi
Sichajumwa,2391,Navakholo,Navakholo,Nambacha,Sirigoi
Simuli,2392,Navakholo,Navakholo,Nambacha,Sirigoi
Sirigoi,2393,Navakholo,Navakholo,Nambacha,Sirigoi
Usiri,2394,Navakholo,Navakholo,Nambacha,Sirigoi
Wamiro,2395,Navakholo,Navakholo,Nambacha,Sirigoi
Bumula,7001,Bumula,Bumula,Bumula,Bumula
Bunambovi A,7002,Bumula,Bumula,Bumula,Bumula
Bunambovi B,7003,Bumula,Bumula,Bumula,Bumula
Lulare,7004,Bumula,Bumula,Bumula,Bumula
Mukuyuni,7005,Bumula,Bumula,Bumula,Bumula
Mwira,7006,Bumula,Bumula,Bumula,Bumula
Namwinyi,7007,Bumula,Bumula,Bumula,Bumula
Nandigwa A,7008,Bumula,Bumula,Bumula,Bumula
Nandigwa B,7009,Bumula,Bumula,Bumula,Bumula
Sango,7010,Bumula,Bumula,Bumula,Bumula
Siekumulo,7011,Bumula,Bumula,Bumula,Bumula
Sifunyame,7012,Bumula,Bumula,Bumula,Bumula
Khabusi,7013,Bumula,Bumula,Siboti,East Siboti
Kimwanga,7014,Bumula,Bumula,Siboti,East Siboti
Lurende,7015,Bumula,Bumula,Siboti,East Siboti
Machwele,7016,Bumula,Bumula,Siboti,East Siboti
Marakaru,7017,Bumula,Bumula,Siboti,East Siboti
Miluki,7018,Bumula,Bumula,Siboti,East Siboti
Musemwa,7019,Bumula,Bumula,Siboti,East Siboti
Mukhua,7020,Bumula,Bumula,Siboti,East Siboti
Mitua,7021,Bumula,Bumula,Siboti,East Siboti
Nakholo,7022,Bumula,Bumula,Siboti,East Siboti
Namakhundu,7023,Bumula,Bumula,Siboti,East Siboti
Namawanga,7024,Bumula,Bumula,Siboti,East Siboti
Namuningie,7025,Bumula,Bumula,Siboti,East Siboti
Nangata,7026,Bumula,Bumula,Siboti,East Siboti
Nasimbo,7027,Bumula,Bumula,Siboti,East Siboti
Siboti,7028,Bumula,Bumula,Siboti,East Siboti
Sinoko,7029,Bumula,Bumula,Siboti,East Siboti
Siumbwa,7030,Bumula,Bumula,Siboti,East Siboti
Bikeke,7031,Bumula,Bumula,Siboti,East Siboti
Wabukhonyi,7032,Bumula,Bumula,Siboti,East Siboti
Wekelekha,7033,Bumula,Bumula,Siboti,East Siboti
Weoya,7034,Bumula,Bumula,Siboti,East Siboti
Choke,7035,Bumula,Bumula,Bumula,Lunao
Kware A,7036,Bumula,Bumula,Bumula,Lunao
Kware B,7037,Bumula,Bumula,Bumula,Lunao
